key	date	value
Barry Docks, Wales	1892	0
Barry Docks, Wales	1893	2
Barry Docks, Wales	1894	0
Barry Docks, Wales	1895	1
Barry Docks, Wales	1896	1
Barry Docks, Wales	1897	0
Barry Docks, Wales	1898	0
Barry Docks, Wales	1899	0
Barry Docks, Wales	1900	0
Barry Docks, Wales	1901	0
Barry Docks, Wales	1902	0
Barry Docks, Wales	1903	0
Barry Docks, Wales	1904	0
Barry Docks, Wales	1905	0
Barry Docks, Wales	1906	3
Barry Docks, Wales	1907	2
Barry Docks, Wales	1908	0
Barry Docks, Wales	1909	0
Barry Docks, Wales	1910	1
Barry Docks, Wales	1911	1
Barry Docks, Wales	1912	0
Barry Docks, Wales	1913	1
Barry Docks, Wales	1914	0
Barry Docks, Wales	1915	0
Barry Docks, Wales	1916	14
Barry Docks, Wales	1917	315
Barry Docks, Wales	1918	942
Barry Docks, Wales	1919	2346
Barry Docks, Wales	1920	549
Barry Docks, Wales	1921	423
Barry Docks, Wales	1922	908
Barry Docks, Wales	1923	107
Barry Docks, Wales	1924	83
Barry, England	1892	0
Barry, England	1893	0
Barry, England	1894	0
Barry, England	1895	0
Barry, England	1896	0
Barry, England	1897	0
Barry, England	1898	0
Barry, England	1899	0
Barry, England	1900	0
Barry, England	1901	0
Barry, England	1902	0
Barry, England	1903	2
Barry, England	1904	2
Barry, England	1905	0
Barry, England	1906	3
Barry, England	1907	0
Barry, England	1908	0
Barry, England	1909	0
Barry, England	1910	0
Barry, England	1911	1
Barry, England	1912	0
Barry, England	1913	0
Barry, England	1914	0
Barry, England	1915	0
Barry, England	1916	0
Barry, England	1917	142
Barry, England	1918	208
Barry, England	1919	799
Barry, England	1920	79
Barry, England	1921	194
Barry, England	1922	65
Barry, England	1923	0
Barry, England	1924	1
Batavia	1892	0
Batavia	1893	0
Batavia	1894	0
Batavia	1895	0
Batavia	1896	0
Batavia	1897	0
Batavia	1898	0
Batavia	1899	0
Batavia	1900	0
Batavia	1901	0
Batavia	1902	0
Batavia	1903	1
Batavia	1904	0
Batavia	1905	0
Batavia	1906	0
Batavia	1907	0
Batavia	1908	0
Batavia	1909	0
Batavia	1910	0
Batavia	1911	0
Batavia	1912	0
Batavia	1913	0
Batavia	1914	0
Batavia	1915	0
Batavia	1916	7
Batavia	1917	113
Batavia	1918	87
Batavia	1919	271
Batavia	1920	540
Batavia	1921	0
Batavia	1922	89
Batavia	1923	0
Batavia	1924	0
Belfast	1892	7
Belfast	1893	0
Belfast	1894	0
Belfast	1895	0
Belfast	1896	0
Belfast	1897	0
Belfast	1898	0
Belfast	1899	0
Belfast	1900	0
Belfast	1901	0
Belfast	1902	0
Belfast	1903	0
Belfast	1904	41
Belfast	1905	0
Belfast	1906	0
Belfast	1907	0
Belfast	1908	0
Belfast	1909	0
Belfast	1910	1
Belfast	1911	0
Belfast	1912	1
Belfast	1913	0
Belfast	1914	0
Belfast	1915	0
Belfast	1916	0
Belfast	1917	553
Belfast	1918	914
Belfast	1919	329
Belfast	1920	905
Belfast	1921	466
Belfast	1922	246
Belfast	1923	549
Belfast	1924	904
Belize, British Honduras	1892	33
Belize, British Honduras	1893	37
Belize, British Honduras	1894	46
Belize, British Honduras	1895	59
Belize, British Honduras	1896	6
Belize, British Honduras	1897	30
Belize, British Honduras	1898	0
Belize, British Honduras	1899	0
Belize, British Honduras	1900	0
Belize, British Honduras	1901	0
Belize, British Honduras	1902	0
Belize, British Honduras	1903	0
Belize, British Honduras	1904	0
Belize, British Honduras	1905	21
Belize, British Honduras	1906	0
Belize, British Honduras	1907	2
Belize, British Honduras	1908	3
Belize, British Honduras	1909	17
Belize, British Honduras	1910	0
Belize, British Honduras	1911	0
Belize, British Honduras	1912	0
Belize, British Honduras	1913	0
Belize, British Honduras	1914	2
Belize, British Honduras	1915	0
Belize, British Honduras	1916	0
Belize, British Honduras	1917	38
Belize, British Honduras	1918	42
Belize, British Honduras	1919	56
Belize, British Honduras	1920	41
